Term,Type
Government Office for Science,GovAgency
Great Britain-China Centre,GovAgency
Groceries Code Adjudicator,GovAgency
Health and Safety Executive,GovAgency
Health Education England,GovAgency
Health Research Authority,GovAgency
Heritage Lottery Fund,GovAgency
High Speed Two (HS2) Limited,GovAgency
Higher Education Funding Council for England,GovAgency
HEFCE,GovAgency
Highways England,GovAgency
Historic England,GovAgency
Historic Royal Palaces,GovAgency
HM Courts & Tribunals Service,GovAgency
HM Crown Prosecution Service Inspectorate,GovAgency
HM Inspectorate of Constabulary,GovAgency
HM Inspectorate of Prisons,GovAgency
HM Inspectorate of Probation,GovAgency
HM Land Registry,GovAgency
HM Land Registry,GovAgency
HM Prison Service,GovAgency
HM Revenue & Customs,GovAgency
Homes and Communities Agency,GovAgency
Horniman Public Museum and Public Park Trust,GovAgency
Horserace Betting Levy Board,GovAgency
House of Lords Appointments Commission,GovAgency
Housing Ombudsman,GovAgency
Human Fertilisation and Embryology Authority,GovAgency
Human Tissue Authority,GovAgency
Imperial War Museum,GovAgency
Independent Advisory Panel on Deaths in Custody,GovAgency
Independent Agricultural Appeals Panel,GovAgency
Independent Anti-slavery Commissioner,GovAgency
Independent Case Examiner,GovAgency
Independent Chief Inspector of Borders and Immigration,GovAgency
Independent Commission for Aid Impact,GovAgency
Independent Complaints Reviewer,GovAgency
Independent Family Returns Panel,GovAgency
Independent Medical Expert Group,GovAgency
Independent Monitoring Boards,GovAgency
Independent Police Complaints Commission,GovAgency
Independent Reconfiguration Panel,GovAgency
Independent Reviewer of Terrorism Legislation,GovAgency
Industrial Development Advisory Board,GovAgency
Industrial Injuries Advisory Council,GovAgency
Information Commissioner's Office,GovAgency
Innovate UK,GovAgency
Insolvency Practitioners Tribunal,GovAgency
Insolvency Rules Committee,GovAgency
Institute for Apprenticeships,GovAgency
Intellectual Property Office,GovAgency
Intelligence Services Commissioner,GovAgency
Interception of Communications Commissioner,GovAgency
Investigatory Powers Tribunal,GovAgency
Joint Nature Conservation Committee,GovAgency
Judicial Appointments and Conduct Ombudsman,GovAgency
Judicial Appointments Commission,GovAgency
