"","sponsor","count","sensitivity","accuracy","expectedAccuracy","extrap","estimate","PercentThesis"
"1","Charitable",1628,0.821,0.913,1486.364,1982.94762484775,1810.43118148599,16.1847951143035
"2","UK Government",5072,0.966,1,5072,5250.51759834369,5250.51759834369,46.938294281635
"3","Business",944,0.725,0.983,927.952,1302.06896551724,1279.93379310345,11.4422831495034
