"","Arts & Humanities","Medical","Science","Technology & Management"
"All",2720,2307,2978,3181
"UK Gov",1083,924,1715,1350
"Business",37,155,284,468
"Charitable",386,742,313,187
"AMRC",24,509,97,16
"non-AMRC",362,233,216,171
